"","County","Date","Population","Cases_Population","New_Cases_Today_10k_Pop","Active_Cases_10k_Pop","Current_Infections","Positive","New_Cases_Today","Recovered","Recovered_Since_Yesterday","Total_Deaths","New_Deaths_Today","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","Hospitalized","Hosp_Change_from_Yesterday","Ever_Hospitalized","New_Admits","New_Discharges_Deaths","Pct_Hospitalized","Vent","Ever_on_a_Vent","New_on_Vent","Pct_Vent"
"81","Arkansas_all_counties",2020-06-28,3017804,0.656702688444975,1.68334325224567,19.6102861550982,5918,19818,508,13636,366,264,5,13900,1.89928057553957,98.1007194244604,283,5,1380,7,2,4.78202095302467,66,211,1,23.321554770318
"82","Arkansas_all_counties",2020-06-27,3017804,0.639869255922519,1.88879065704731,19.156313663843,5781,19310,570,13270,486,259,10,13529,1.91440609062015,98.0855939093799,278,-6,1373,36,42,4.80885659920429,63,210,2,22.6618705035971
"83","Arkansas_all_counties",2020-06-26,3017804,0.620981349352045,2.24666678154048,18.9111022452088,5707,18740,678,12784,657,249,7,13033,1.91053479628635,98.0894652037137,284,0,1337,37,37,4.97634483967058,63,208,5,22.1830985915493
"84","Arkansas_all_counties",2020-06-25,3017804,0.598514681536641,2.27648979191492,18.8647108957374,5693,18062,687,12127,559,242,2,12369,1.95650416363489,98.0434958363651,284,17,1300,55,38,4.98858246969963,66,203,9,23.2394366197183
"85","Arkansas_all_counties",2020-06-24,3017804,0.575749783617491,2.30962647010873,18.4471887504954,5567,17375,697,11568,348,240,3,11808,2.03252032520325,97.9674796747967,267,19,1245,31,12,4.7961199928148,58,194,5,21.7228464419476
"86","Arkansas_all_counties",2020-06-23,3017804,0.552653518916404,1.97163235253184,17.3006596849895,5221,16678,595,11220,427,237,10,11457,2.06860434668761,97.9313956533124,248,11,1214,26,15,4.75004788354721,57,189,3,22.9838709677419
"87","Arkansas_all_counties",2020-06-22,3017804,0.532937195391086,1.72973460171701,16.7771001695272,5063,16083,522,10793,337,227,2,11020,2.05989110707804,97.940108892922,237,-7,1188,24,31,4.68101915860162,61,186,0,25.7383966244726
"88","Arkansas_all_counties",2020-06-21,3017804,0.515639849373916,1.38842681632074,16.1706989585805,4880,15561,419,10456,374,225,1,10681,2.10654433105514,97.8934556689449,244,4,1164,12,8,5,62,186,NA,25.4098360655738
"89","Arkansas_all_counties",2020-06-20,3017804,0.501755581210708,1.69328425570382,16.0248975745277,4836,15142,511,10082,370,224,10,10306,2.17349117019212,97.8265088298079,240,9,1152,19,10,4.96277915632754,59,NA,NA,24.5833333333333
"90","Arkansas_all_counties",2020-06-19,3017804,0.48482273865367,2.32950847702502,15.5908070901888,4705,14631,703,9712,336,214,6,9926,2.15595406004433,97.8440459399557,231,5,1133,33,28,4.90967056323061,57,NA,NA,24.6753246753247
"91","Arkansas_all_counties",2020-06-18,3017804,0.46152765388342,1.06700103784076,14.3945730073921,4344,13928,322,9376,380,208,11,9584,2.17028380634391,97.8297161936561,226,9,1100,26,17,5.20257826887661,53,NA,NA,23.4513274336283
"92","Arkansas_all_counties",2020-06-17,3017804,0.450857643505012,1.37517214504322,14.6232160869294,4413,13606,415,8996,331,197,9,9193,2.1429348417274,97.8570651582726,217,3,1074,22,19,4.91728982551552,53,NA,NA,24.4239631336406
"93","Arkansas_all_counties",2020-06-16,3017804,0.43710592205458,0.907944982510461,14.3746910004758,4338,13191,274,8665,313,188,6,8853,2.12357392974133,97.8764260702587,214,8,1052,26,18,4.93314891655141,45,NA,NA,21.0280373831776
"94","Arkansas_all_counties",2020-06-15,3017804,0.428026472229475,1.3784858128626,14.523806052348,4383,12917,416,8352,242,182,3,8534,2.13264588704008,97.8673541129599,206,5,1026,23,18,4.69997718457677,45,NA,NA,21.8446601941748
"95","Arkansas_all_counties",2020-06-14,3017804,0.41424161410085,1.34534913466879,13.9571688552338,4212,12501,406,8110,247,179,2,8289,2.15948847870672,97.8405115212933,201,-3,1003,5,8,4.77207977207977,45,NA,NA,22.3880597014925
"96","Arkansas_all_counties",2020-06-13,3017804,0.400788122754162,1.81588996502092,13.436923007591,4055,12095,548,7863,256,177,1,8040,2.20149253731343,97.7985074626866,204,1,998,19,18,5.0308261405672,46,NA,NA,22.5490196078431
"97","Arkansas_all_counties",2020-06-12,3017804,0.382629223103952,2.42229117596769,12.472645672151,3764,11547,731,7607,256,176,5,7783,2.26133881536683,97.7386611846332,203,16,979,18,2,5.39319872476089,49,NA,NA,24.1379310344828
"98","Arkansas_all_counties",2020-06-11,3017804,0.358406311344275,1.4845231830828,10.9152217970418,3294,10816,448,7351,235,171,6,7522,2.27333156075512,97.7266684392449,187,6,961,36,30,5.67698846387371,45,NA,NA,24.0641711229947
"99","Arkansas_all_counties",2020-06-10,3017804,0.343561079513447,0.954336331981799,10.2292925584299,3087,10368,288,7116,241,165,4,7281,2.26617222908941,97.7338277709106,181,8,925,24,16,5.86329770003239,49,NA,NA,27.0718232044199
"100","Arkansas_all_counties",2020-06-09,3017804,0.33401771619363,1.12664705858962,10.0868048421965,3044,10080,340,6875,245,161,6,7036,2.28823194997157,97.7117680500284,173,2,901,36,34,5.68331143232589,44,NA,NA,25.4335260115607
"101","Arkansas_all_counties",2020-06-08,3017804,0.322751245607733,1.04049169528571,9.79188840627158,2955,9740,314,6630,206,155,1,6785,2.28445099484156,97.7155490051584,171,26,865,21,-5,5.78680203045685,46,NA,NA,26.9005847953216
"102","Arkansas_all_counties",2020-06-07,3017804,0.312346328654876,1.0769420412989,9.43732594959779,2848,9426,325,6424,158,154,0,6578,2.34113712374582,97.6588628762542,145,-9,844,6,15,5.09129213483146,35,NA,NA,24.1379310344828
"103","Arkansas_all_counties",2020-06-06,3017804,0.301576908241887,1.49115051872156,8.88394342376112,2681,9101,450,6266,189,154,2,6420,2.398753894081,97.601246105919,154,7,838,31,24,5.74412532637076,36,NA,NA,23.3766233766234
"104","Arkansas_all_counties",2020-06-05,3017804,0.286665403054672,0.748888927180161,8.02570345854138,2422,8651,226,6077,158,152,1,6229,2.44019906887141,97.5598009311286,147,10,807,15,5,6.06936416184971,35,NA,NA,23.8095238095238
"105","Arkansas_all_counties",2020-06-04,3017804,0.27917651378287,1.18629307933849,7.80368771464283,2355,8425,358,5919,202,151,9,6070,2.48764415156507,97.5123558484349,137,-1,792,35,36,5.81740976645435,32,NA,NA,23.3576642335766
"106","Arkansas_all_counties",2020-06-03,3017804,0.267313582989485,0.82510328702593,7.31657854519379,2208,8067,249,5717,150,142,6,5859,2.42362177846049,97.5763782215395,138,6,757,26,20,6.25,30,NA,NA,21.7391304347826
