"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death","Clean_New_Deaths_Today"
"224",2020-11-17,"Arkansas_all_counties",135902,2245,19,20,60.5354120267261,20
"225",2020-11-18,"Arkansas_all_counties",137617,2275,21.3,30,60.490989010989,30
"226",2020-11-19,"Arkansas_all_counties",139855,2297,21.9,22,60.8859381802351,22
"227",2020-11-20,"Arkansas_all_counties",141916,2321,24.7,24,61.1443343386471,24
"228",2020-11-21,"Arkansas_all_counties",143821,2337,25.4,16,61.540864356012,16
"229",2020-11-22,"Arkansas_all_counties",145173,2357,24.9,20,61.5922783198982,20
"230",2020-11-23,"Arkansas_all_counties",146190,2387,23.1,30,61.2442396313364,30
"231",2020-11-24,"Arkansas_all_counties",148312,2405,22.9,18,61.6681912681913,18
"232",2020-11-25,"Arkansas_all_counties",150277,2425,21.4,20,61.9698969072165,20
"233",2020-11-26,"Arkansas_all_counties",152625,2436,19.9,11,62.6539408866995,11
"234",2020-11-27,"Arkansas_all_counties",153677,2436,16.4,0,63.0857963875205,0
"235",2020-11-28,"Arkansas_all_counties",155026,2449,16,13,63.3017558187015,13
"236",2020-11-29,"Arkansas_all_counties",156247,2470,16.1,21,63.2578947368421,21
"237",2020-11-30,"Arkansas_all_counties",157359,2502,16.4,32,62.8932853717026,32
"238",2020-12-01,"Arkansas_all_counties",159309,2512,15.3,10,63.4191878980892,10
"239",2020-12-02,"Arkansas_all_counties",161521,2522,13.9,10,64.0448057097542,10
"240",2020-12-03,"Arkansas_all_counties",164310,2555,17,33,64.3091976516634,33
"241",2020-12-04,"Arkansas_all_counties",167137,2586,21.4,31,64.6314771848415,31
"242",2020-12-05,"Arkansas_all_counties",169382,2620,24.4,34,64.6496183206107,34
"243",2020-12-06,"Arkansas_all_counties",170924,2660,27.1,40,64.2571428571429,40
"244",2020-12-07,"Arkansas_all_counties",172042,2713,30.1,53,63.4139329155916,53
"245",2020-12-08,"Arkansas_all_counties",174325,2752,34.3,39,63.3448401162791,39
"246",2020-12-09,"Arkansas_all_counties",176652,2786,37.7,34,63.4070351758794,34
"247",2020-12-10,"Arkansas_all_counties",178854,2820,37.9,34,63.4234042553191,34
"248",2020-12-11,"Arkansas_all_counties",181624,2875,41.3,55,63.1735652173913,55
"249",2020-12-12,"Arkansas_all_counties",184252,2911,41.6,36,63.2950875987633,36
"250",2020-12-13,"Arkansas_all_counties",185702,2945,40.7,34,63.0567062818336,34
"251",2020-12-14,"Arkansas_all_counties",187057,2990,39.6,45,62.5608695652174,45
"252",2020-12-15,"Arkansas_all_counties",189198,3016,37.7,26,62.7314323607427,26
"253",2020-12-16,"Arkansas_all_counties",191504,3074,41.1,58,62.2979830839297,58
"254",2020-12-17,"Arkansas_all_counties",194543,3112,41.7,38,62.5138174807198,38
"255",2020-12-18,"Arkansas_all_counties",197421,3139,37.7,27,62.8929595412552,27
"256",2020-12-19,"Arkansas_all_counties",200114,3191,40,52,62.7120025070511,52
"257",2020-12-20,"Arkansas_all_counties",201650,3237,41.7,46,62.2953351869015,46
"258",2020-12-21,"Arkansas_all_counties",203107,3295,43.6,58,61.640971168437,58
"259",2020-12-22,"Arkansas_all_counties",205048,3338,46,43,61.4284002396645,43
"260",2020-12-23,"Arkansas_all_counties",207941,3376,43.1,38,61.5938981042654,38
"261",2020-12-24,"Arkansas_all_counties",211145,3406,42,30,61.9920728126835,30
"262",2020-12-25,"Arkansas_all_counties",213267,3438,42.7,32,62.0322862129145,32
"263",2020-12-26,"Arkansas_all_counties",213969,3441,35.7,3,62.1822144725371,3
"264",2020-12-27,"Arkansas_all_counties",214877,3482,35,41,61.7107983917289,41
"265",2020-12-28,"Arkansas_all_counties",216528,3537,34.6,55,61.2179813401187,55
"266",2020-12-29,"Arkansas_all_counties",219246,3603,37.9,66,60.8509575353872,66
"267",2020-12-30,"Arkansas_all_counties",222430,3637,37.3,34,61.1575474291999,34
"268",2020-12-31,"Arkansas_all_counties",225138,3676,38.6,39,61.2453754080522,39
"269",2021-01-01,"Arkansas_all_counties",229442,3711,39,35,61.827539746699,35
"270",2021-01-02,"Arkansas_all_counties",231442,3729,41.1,18,62.0654330919818,18
"271",2021-01-03,"Arkansas_all_counties",233475,3749,38.1,20,62.2766070952254,20
"272",2021-01-04,"Arkansas_all_counties",234781,3800,37.6,51,61.7844736842105,51
"273",2021-01-05,"Arkansas_all_counties",238888,3836,33.3,36,62.2752867570386,36
"274",2021-01-06,"Arkansas_all_counties",242593,3901,37.7,65,62.1873878492694,65
"275",2021-01-07,"Arkansas_all_counties",245916,3926,35.7,25,62.6377992868059,25
"276",2021-01-08,"Arkansas_all_counties",248860,3966,36.4,40,62.7483610690872,40
"277",2021-01-09,"Arkansas_all_counties",251746,4010,40.1,44,62.7795511221945,44
"278",2021-01-10,"Arkansas_all_counties",255076,4043,42,33,63.0907741775909,33
"279",2021-01-11,"Arkansas_all_counties",256344,4081,40.1,38,62.8140161725067,38
"280",2021-01-12,"Arkansas_all_counties",259553,4121,40.7,40,62.9830138315943,40
"281",2021-01-13,"Arkansas_all_counties",262020,4186,40.7,65,62.5943621595796,65
"282",2021-01-14,"Arkansas_all_counties",264511,4228,43.1,42,62.5617313150426,42
"283",2021-01-15,"Arkansas_all_counties",267635,4263,42.4,35,62.7809054656345,35
"284",2021-01-16,"Arkansas_all_counties",270178,4293,40.4,30,62.9345446075006,30
"285",2021-01-17,"Arkansas_all_counties",271154,4311,38.3,18,62.8981674785433,18
"286",2021-01-18,"Arkansas_all_counties",272263,4343,37.4,32,62.6900759843426,32
"287",2021-01-19,"Arkansas_all_counties",273594,4386,37.9,43,62.3789329685363,43
"288",2021-01-20,"Arkansas_all_counties",276114,4441,36.4,55,62.1738347219095,55
"289",2021-01-21,"Arkansas_all_counties",279220,4496,38.3,55,62.1040925266904,55
"290",2021-01-22,"Arkansas_all_counties",281382,4549,40.9,53,61.8557924818641,53
"291",2021-01-23,"Arkansas_all_counties",282995,4563,38.6,14,62.0195047118124,14
"292",2021-01-24,"Arkansas_all_counties",284066,4606,42.1,43,61.6730351715154,43
"293",2021-01-25,"Arkansas_all_counties",284702,4650,43.9,44,61.2262365591398,44
"294",2021-01-26,"Arkansas_all_counties",287187,4690,43.4,40,61.2339019189765,40
"295",2021-01-27,"Arkansas_all_counties",288964,4742,43,52,60.9371573175875,52
"296",2021-01-28,"Arkansas_all_counties",290856,4784,41.1,42,60.7976588628763,42
"297",2021-01-29,"Arkansas_all_counties",292563,4831,40.3,47,60.5595114883047,47
"298",2021-01-30,"Arkansas_all_counties",294387,4838,39.3,7,60.8489045059942,7
"299",2021-01-31,"Arkansas_all_counties",295268,4868,37.4,30,60.6548890714873,30
"300",2021-02-01,"Arkansas_all_counties",296494,4895,35,27,60.5707865168539,27
"301",2021-02-02,"Arkansas_all_counties",298004,4939,35.6,44,60.3369103057299,44
"302",2021-02-03,"Arkansas_all_counties",300430,4985,34.7,46,60.2668004012036,46
