"","County_Name","Date","Active_Cases_Total","Total_Positives","Total_Deaths","Pct_Positive_Cumulative","New_Cases_Today","Active_Cases_10k_Pop"
"397","Cleburne",2020-09-06,16,267,7,5.5,3,6.34
"398","Cleveland",2020-09-06,7,142,7,6.67,1,8.51
"399","Columbia",2020-09-06,26,317,15,7.9,2,10.88
"400","Conway",2020-09-06,20,219,3,4.32,3,9.57
"401","Craighead",2020-09-06,323,2079,16,7.65,57,30.56
"402","Crawford",2020-09-06,114,992,9,6.46,21,18.25
"403","Crittenden",2020-09-06,77,1713,35,12.49,10,15.71
"404","Cross",2020-09-06,47,304,5,8.13,1,27.65
"405","Dallas",2020-09-06,36,135,2,8.15,0,48.44
"406","Desha",2020-09-06,24,253,5,7.63,1,20.19
"407","Drew",2020-09-06,22,319,5,6.42,10,11.89
"408","Faulkner",2020-09-06,193,1790,9,5.95,20,15.77
"409","Franklin",2020-09-06,28,187,2,4.12,5,15.75
"410","Fulton",2020-09-06,16,84,1,8.22,0,13.18
"411","Garland",2020-09-06,151,1518,32,6.5,17,15.36
"412","Grant",2020-09-06,26,204,1,5.23,2,14.38
"413","Greene",2020-09-06,58,669,5,6.25,9,13
"414","Hempstead",2020-09-06,6,335,3,8.67,0,2.73
"415","HotSpring",2020-09-06,51,1746,23,16.76,5,15.21
"416","Howard",2020-09-06,32,435,7,11.81,0,23.9
"417","Independence",2020-09-06,83,813,8,9.07,7,22.27
"418","Izard",2020-09-06,16,111,0,3.74,2,11.8
"419","Jackson",2020-09-06,16,194,1,3.61,0,9.29
"420","Jefferson",2020-09-06,323,2285,52,9.42,44,45.87
"421","Johnson",2020-09-06,23,785,4,11.88,8,8.75
"422","Lafayette",2020-09-06,5,76,2,8.59,2,7.23
"423","Lawrence",2020-09-06,26,268,11,8.26,5,15.6
"424","Lee",2020-09-06,18,1013,11,23.33,3,19.15
"425","Lincoln",2020-09-06,365,1759,13,23.83,5,266.52
"426","LittleRiver",2020-09-06,26,304,16,17.09,4,20.94
"427","Logan",2020-09-06,14,369,1,6.36,2,6.43
"428","Lonoke",2020-09-06,93,776,5,5.56,9,12.88
"429","Madison",2020-09-06,11,308,2,8.15,0,6.84
"430","Marion",2020-09-06,9,51,0,2.84,0,5.48
"431","Miller",2020-09-06,56,656,10,10.97,10,12.8
"432","MissingCountyInfo",2020-09-06,287,1227,0,4.63,13,NA
"433","Mississippi",2020-09-06,105,1433,32,12.77,28,24.51
