"","County_Name","Date","Deaths","fhwa_numbe","fips","Positive","Negative","Recuperaciones","Total_Tests","Casos_Activos","pop_5yr_est_2018","pop_5yr_est_2018_2019","Confirmed_Positive","Probable_Positive","Confirmed_Negative","Probable_Negative","Confirmed_Recoveries","Probable_Recoveries","confirmed_death","probable_death","Confirmado_Activo","Probable_Activo","pcr_test","antigen_test","PCR_Positive_Test","PCR_Negative_Tests","antigen_pos_test","antigen_neg_test","Total_Positive_Test","Total_Negative_Test","Nuevos_Casos_Hoy","Recovered_Since_Yesterday","Nuevas_Muertes_Hoy","New_Tests_Dashboard","Cases_Population","Población_Probada","Nuevos_Casos_Hoy_por_cada_10k_Residentes","Casos_Activos_por_cada_10k_Residentes","Confirmed_Active_Cases_10k_Pop","Pct_Positive_Cumulative","Porcentaje_Positivo_de_Novedades_en_el_Tablero","Closed","Pct_Deaths_vs_Recoveries","Pct_Recoveries_vs_Deaths","lab_prvt","lab_pub"
"1:67","Searcy",2021-08-16,19,NA,NA,1060,8991,982,10161,58,7923,7923,595,465,NA,NA,550,433,13,6,32,26,6629,3532,595,6034,575,2957,1170,8991,1,4,0,24,13.38,126.86,1.26,73.2,40.3887416382683,10.55,4.17,1001,1.9,98.1,8810,1241
"1:68","Sebastian",2021-08-16,295,NA,NA,17962,170068,16718,188493,939,127461,127461,13501,4461,NA,NA,12703,4023,250,45,546,393,163425,25068,13501,149924,4925,20143,18426,170067,48,75,2,559,14.09,147.52,3.77,73.67,42.8366323816697,9.55,8.59,17013,1.73,98.27,176557,11473
"1:69","Sevier",2021-08-16,28,NA,NA,3122,16975,2961,20249,132,17193,17193,1939,1183,NA,NA,1875,1086,23,5,40,92,15021,5228,1939,13082,1335,3893,3274,16975,2,12,0,28,18.16,116.89,1.16,76.78,23.2652823823649,15.53,7.14,2989,0.94,99.06,18160,1937
"1:70","Sharp",2021-08-16,54,NA,NA,2150,25024,1917,27303,178,17043,17043,1391,759,NA,NA,1262,656,36,18,93,85,17922,9381,1391,16531,890,8491,2281,25022,0,19,1,247,12.62,159.44,0,104.44,54.5678577715191,7.91,0,1971,2.74,97.26,25449,1725
"1:71","Stone",2021-08-16,35,NA,NA,1363,16724,1249,18150,79,12446,12446,892,471,NA,NA,837,412,29,6,26,53,14464,3686,892,13572,534,3152,1426,16724,1,6,0,22,10.95,145.32,0.8,63.47,20.8902458621244,7.54,4.55,1284,2.73,97.27,14904,3183
"1:72","Union",2021-08-16,117,NA,NA,4591,34142,4326,38299,146,39732,39732,3375,1216,NA,NA,3182,1145,79,38,114,32,27948,10351,3375,24573,1461,8890,4836,33463,5,21,0,45,11.55,97.49,1.26,36.75,28.6922379945636,11.85,11.11,4443,2.63,97.37,32822,5911
"1:73","Van Buren",2021-08-16,30,NA,NA,1738,21035,1611,22940,97,16684,16684,1018,720,NA,NA,964,647,22,8,32,65,16220,6720,1018,15202,887,5833,1905,21035,3,17,0,27,10.42,136.5,1.8,58.14,19.180052745145,7.63,11.11,1641,1.83,98.17,17924,4849
"1:74","Washington",2021-08-16,392,NA,NA,36958,301630,34548,340255,2016,228529,228529,27213,9745,NA,NA,25535,9014,280,112,1398,618,280309,59946,27213,253096,11414,48532,38627,301628,45,211,5,784,16.17,148.16,1.97,88.22,61.1738553969081,10.92,5.74,34940,1.12,98.88,308855,29733
"1:75","White",2021-08-16,149,NA,NA,10838,68454,9903,79977,783,78804,78804,6714,4124,NA,NA,6219,3684,114,35,378,405,58934,21043,6714,52220,4834,16209,11548,68429,8,94,0,78,13.75,100.62,1.02,99.36,47.9671082686158,13.67,10.26,10052,1.48,98.52,58262,21030
"1:76","Woodruff",2021-08-16,16,NA,NA,833,10687,730,11592,87,6660,6660,538,295,NA,NA,487,243,11,5,40,47,9457,2135,538,8919,367,1768,905,10687,0,9,0,23,12.51,172.97,0,130.63,60.0600600600601,7.23,0,746,2.14,97.86,10583,937
