"","Date","Casos_0_10","Casos_11_17","Casos_18_24","Casos_25_34","Casos_35_44","Cases_45_54","Casos_45_54","Casos_65","Casos_Desconocidos","Muertes_0_10","Muertes_11_17","Muertes_18_24","Muertes_25_34","Muertes_35_44","Muertes_45_54","Muertes_55_64","Muertes_65","Muertes_Desconocidos","Casos_0_17","Casos_25_44","Casos_45_64","Muertes_0_17","Muertes_25_44","Muertes_45_64","Nuevos_Casos_0_10","Nuevos_Casos_11_17","Nuevos_Casos_18_24","Nuevos_Casos_25_34","Nuevos_Casos_35_44","Nuevos_Casos_45_54","Nuevos_Casos_55_64","Nuevos_Casos_65","Nuevas_Muertes_0_10","Nuevas_Muertes_11_17","Nuevas_Muertes_18_24","Nuevas_Muertes_25_34","Nuevas_Muertes_35_44","Nuevas_Muertes_45_54","Nuevas_Muertes_55_64","Nuevas_Muertes_65","Nuevos_Casos_0_17","Nuevos_Casos_25_44","Nuevos_Casos_45_64","Nuevas_Muertes_0_17","Nuevas_Muertes_25_44","Nuevas_Muertes_45_64"
"1:165",2020-12-18,11304,15767,26790,32311,30220,28199,23838,28992,0,0,0,4,29,58,157,378,2513,0,NA,NA,NA,NA,NA,NA,180,253,318,457,494,416,379,381,0,0,0,0,0,2,0,25,NA,NA,NA,NA,NA,NA
"1:166",2020-12-17,11124,15514,26472,31854,29726,27783,23459,28611,0,0,0,4,29,58,155,378,2488,0,NA,NA,NA,NA,NA,NA,192,284,345,472,454,429,407,456,0,0,0,0,1,2,2,33,NA,NA,NA,NA,NA,NA
"1:167",2020-12-16,10932,15230,26127,31382,29272,27354,23052,28155,0,0,0,4,29,57,153,376,2455,0,NA,NA,NA,NA,NA,NA,138,249,239,344,385,341,301,309,0,0,0,0,2,4,7,45,NA,NA,NA,NA,NA,NA
"1:168",2020-12-15,10794,14981,25888,31038,28887,27013,22751,27846,0,0,0,4,29,55,149,369,2410,0,NA,NA,NA,NA,NA,NA,139,164,210,328,365,337,296,302,0,0,0,1,0,1,3,21,NA,NA,NA,NA,NA,NA
"1:169",2020-12-14,10655,14817,25678,30710,28522,26676,22455,27544,0,0,0,4,28,55,148,366,2389,0,NA,NA,NA,NA,NA,NA,99,111,129,216,217,200,171,212,0,0,0,0,1,2,7,35,NA,NA,NA,NA,NA,NA
"1:170",2020-12-13,10556,14706,25549,30494,28305,26476,22284,27332,0,0,0,4,28,54,146,359,2354,0,NA,NA,NA,NA,NA,NA,87,137,160,209,217,195,198,247,0,0,0,0,0,3,3,28,NA,NA,NA,NA,NA,NA
"1:171",2020-12-12,10469,14569,25389,30285,28088,26281,22086,27085,0,0,0,4,28,54,143,356,2326,0,NA,NA,NA,NA,NA,NA,178,280,286,426,390,344,301,423,0,0,0,0,0,1,5,30,NA,NA,NA,NA,NA,NA
"1:172",2020-12-11,10291,14289,25103,29859,27698,25937,21785,26662,0,0,0,4,28,54,142,351,2296,0,NA,NA,NA,NA,NA,NA,155,230,345,475,396,376,349,444,0,0,0,0,0,1,5,49,NA,NA,NA,NA,NA,NA
"1:173",2020-12-10,10136,14059,24758,29384,27302,25561,21436,26218,0,0,0,4,28,54,141,346,2247,0,NA,NA,NA,NA,NA,NA,47,172,275,402,379,323,273,331,0,0,0,0,0,1,3,30,NA,NA,NA,NA,NA,NA
"1:174",2020-12-09,10089,13887,24483,28982,26923,25238,21163,25887,0,0,0,4,28,54,140,343,2217,0,NA,NA,NA,NA,NA,NA,120,274,265,336,357,329,302,344,0,0,0,0,0,0,4,30,NA,NA,NA,NA,NA,NA
"1:175",2020-12-08,9969,13613,24218,28646,26566,24909,20861,25543,0,0,0,4,28,54,140,339,2187,0,NA,NA,NA,NA,NA,NA,193,198,241,339,303,332,302,375,0,0,0,0,1,1,4,33,NA,NA,NA,NA,NA,NA
"1:176",2020-12-07,9776,13415,23977,28307,26263,24577,20559,25168,0,0,0,4,28,53,139,335,2154,0,NA,NA,NA,NA,NA,NA,64,108,132,175,194,163,128,154,0,0,0,0,0,1,7,45,NA,NA,NA,NA,NA,NA
"1:177",2020-12-06,9712,13307,23845,28132,26069,24414,20431,25014,0,0,0,4,28,53,138,328,2109,0,NA,NA,NA,NA,NA,NA,95,138,189,253,238,209,179,241,0,0,0,0,2,0,4,34,NA,NA,NA,NA,NA,NA
"1:178",2020-12-05,9617,13169,23656,27879,25831,24205,20252,24773,0,0,0,4,28,51,138,324,2075,0,NA,NA,NA,NA,NA,NA,162,231,271,369,326,290,267,329,0,0,0,0,0,2,2,30,NA,NA,NA,NA,NA,NA
"1:179",2020-12-04,9455,12938,23385,27510,25505,23915,19985,24444,0,0,0,4,28,51,136,322,2045,0,NA,NA,NA,NA,NA,NA,178,257,350,477,418,380,351,416,0,0,0,1,0,0,3,27,NA,NA,NA,NA,NA,NA
