District LEA,District Description,2 or More Races Total,Asian Total,Black Total,Hispanic Total,Native American/Native Alaskan Total,Native Hawaiian/Pacific Islander Total,White Total,Student Total
3544700,FRIENDSHIP ASPIRE ACADEMY PINE BLUFF,1,3,301,3,0,0,8,316
3545700,FRIENDSHIP ASPIRE ACADEMY SOUTHEAST PINE BLUFF,0,0,71,0,0,0,2,73
6640700,FUTURE SCHOOL OF FORT SMITH,32,2,28,56,5,0,106,229
4602000,GENOA CENTRAL SCHOOL DISTRICT,15,2,6,14,3,2,1130,1172
403000,GENTRY SCHOOL DISTRICT,133,121,7,229,49,5,900,1444
3002000,GLEN ROSE SCHOOL DISTRICT,29,1,9,36,9,0,914,998
4708000,GOSNELL SCHOOL DISTRICT,62,5,243,94,0,2,802,1208
6052700,GRADUATE ARKANSAS  CHARTER,0,0,81,3,0,0,7,91
404000,GRAVETTE SCHOOL DISTRICT,75,25,7,138,44,9,1562,1860
803000,GREEN FOREST SCHOOL DISTRICT,9,108,5,611,7,63,563,1366
2303000,GREENBRIER SCHOOL DISTRICT,72,17,67,131,14,3,3264,3568
2807000,GREENE COUNTY TECH SCHOOL DISTRICT,13,22,83,114,9,24,3260,3525
7204000,GREENLAND SCHOOL DISTRICT,50,2,10,54,6,2,619,743
6602000,GREENWOOD SCHOOL DISTRICT,213,59,32,190,82,7,3143,3726
1003000,GURDON SCHOOL DISTRICT,20,0,164,136,2,0,367,689
2304000,GUY-PERKINS SCHOOL DISTRICT,9,0,36,4,1,0,247,297
7240700,HAAS HALL ACADEMY,89,171,39,180,15,0,913,1407
6603000,HACKETT SCHOOL DISTRICT,38,1,6,30,22,0,633,730
203000,HAMBURG SCHOOL DISTRICT,29,1,317,305,1,0,963,1616
701000,HAMPTON SCHOOL DISTRICT,6,0,119,27,1,0,350,503
6304000,HARMONY GROVE SCH DIST(SALINE),37,5,18,54,3,1,1103,1221
5205000,HARMONY GROVE SCHOOL DISTRICT (OUACHITA),7,8,163,41,3,1,676,899
5602000,HARRISBURG SCHOOL DISTRICT,12,1,37,48,4,0,997,1099
503000,HARRISON SCHOOL DISTRICT,73,14,11,114,10,2,2482,2706
5903000,HAZEN SCHOOL DISTRICT,14,0,104,7,0,0,407,532
1202000,HEBER SPRINGS SCHOOL DISTRICT,34,9,8,74,5,1,1406,1537
5803000,HECTOR SCHOOL DISTRICT,9,5,2,25,7,0,575,623
5403000,HELENA/ WEST HELENA SCHOOL DISTRICT,10,0,1082,6,0,0,49,1147
601000,HERMITAGE SCHOOL DISTRICT,3,0,71,123,1,0,226,424
6804000,HIGHLAND SCHOOL DISTRICT,9,3,21,34,3,3,1524,1597
3809000,HILLCREST SCHOOL DISTRICT,4,0,5,5,0,0,401,415
445700,HOPE ACADEMY OF NORTHWEST ARKANSAS,7,0,0,2,0,0,28,37
2903000,HOPE SCHOOL DISTRICT,59,9,1001,760,4,1,452,2286
6703000,HORATIO SCHOOL DISTRICT,7,0,6,186,23,1,552,775
2603000,HOT SPRINGS SCHOOL DISTRICT,375,33,1277,697,14,0,1233,3629
3804000,HOXIE SCHOOL DISTRICT,25,1,13,22,2,0,757,820
4401000,HUNTSVILLE SCHOOL DISTRICT,62,14,6,232,15,83,1770,2182
3840700,IMBODEN CHARTER SCHOOL DISTRICT,0,0,1,1,4,0,55,61
3306000,IZARD COUNTY CONSOLIDATED SCHOOL DISTRICT,8,1,3,15,0,0,530,557
3405000,JACKSON CO. SCHOOL DISTRICT,20,0,50,11,5,0,759,845
6050700,JACKSONVILLE LIGHTHOUSE CHARTER,4,11,561,63,3,4,155,801
